venta_id,fecha_venta,cliente_id,producto_id,sucursal_id,canal_venta,cantidad,precio_unitario,descuento,total_venta,metodo_pago,motivo_rechazo
2132,2022-10-10,28163.0,999999.0,17,Web,7,327.01,68.67,2220.4,Transferencia,Cliente o Producto Inexistente
2267,2024-01-17,,200283.0,18,Tienda,3,4134.14,372.07,12030.35,Efectivo,Cliente o Producto Inexistente
2336,2021-06-28,9088.0,999999.0,15,WhatsApp,3,3415.47,1024.64,9221.77,Visa,Cliente o Producto Inexistente
2384,2024-12-30,,200316.0,8,Web,7,1623.08,568.08,10793.48,Efectivo,Cliente o Producto Inexistente
2396,2021-12-14,,203369.0,10,web,1,4850.29,145.51,4704.78,Tarjeta,Cliente o Producto Inexistente
2400,2025-12-18,26027.0,999999.0,13,Tienda,3,9945.52,895.1,28941.46,Tarjeta,Cliente o Producto Inexistente
2406,2023-06-22,2940.0,888888.0,10,WhatsApp,8,1682.77,673.11,12789.05,Tarjeta,Cliente o Producto Inexistente
2410,2021-04-19,777777.0,201475.0,14,Web,4,2820.9,338.51,10945.09,Mastercard,Cliente o Producto Inexistente
2433,2021-12-11,11946.0,,10,Tienda,4,6898.91,827.87,26767.77,Efectivo,Cliente o Producto Inexistente
2524,2024-08-06,,201604.0,19,Web,4,9986.75,5992.05,33954.95,Efectivo,Cliente o Producto Inexistente
2563,2022-05-31,,202693.0,11,Tienda Física,3,4274.77,0.0,12824.31,Tarjeta,Cliente o Producto Inexistente
2565,2023-03-22,,203112.0,17,Web,3,7841.53,1176.23,22348.36,  cash  ,Cliente o Producto Inexistente
2595,2021-08-26,19213.0,,11,Web,6,245.56,73.67,1399.69,Efectivo,Cliente o Producto Inexistente
2656,2024-11-27,777777.0,200359.0,20,WhatsApp,5,4176.47,41764.7,19838.23, Efectivo ,Cliente o Producto Inexistente
2667,2023-03-11,14169.0,,9,Sitio,8,10144.91,12173.89,68985.39,Transferencia,Cliente o Producto Inexistente
2674,2023-08-24,29573.0,888888.0,14,Online,8,9600.15,2304.04,74497.16,Tarjeta,Cliente o Producto Inexistente
2771,2025-03-01,17976.0,,14,WhatsApp,7,7949.23,8346.69,47297.92,Efectivo,Cliente o Producto Inexistente
2787,2021-11-24,15726.0,,19,WhatsApp,3,7668.28,3450.73,19554.11,Transferencia,Cliente o Producto Inexistente
2821,2023-04-06,,200885.0,5,WhatsApp,2,3484.82,0.0,6969.64,Tarjeta,Cliente o Producto Inexistente
2857,2025-08-23,,202472.0,19,WhatsApp,5,6692.96,1003.94,32460.86,Efectivo,Cliente o Producto Inexistente
2900,2024-01-14,23195.0,999999.0,6,Web,5,2230.12,1672.59,9478.01,Tarjeta,Cliente o Producto Inexistente
2902,2021-06-08,14020.0,,16,WhatsApp,2,3004.07,300.41,5707.73,Tarjeta,Cliente o Producto Inexistente
2904,2026-06-24,22112.0,999999.0,8,Web,5,391.44,58.72,1898.48,Tarjeta,Cliente o Producto Inexistente
2906,2024-10-31,777777.0,203455.0,4,Tienda,1,2843.92,426.59,2935.85,Transferencia,Cliente o Producto Inexistente
2913,2025-07-16,,203657.0,6,WhatsApp,4,8036.23,0.0,32144.92,Tarjeta,Cliente o Producto Inexistente
2921,2024-01-16,777777.0,201089.0,17,Pagina Web,5,3533.16,1766.58,15899.22,Efectivo,Cliente o Producto Inexistente
2922,2024-03-20,1052.0,,14,WhatsApp,3,9761.03,878.49,28404.6,Credito,Cliente o Producto Inexistente
2974,2025-04-05,12845.0,,11,Web,8,3259.19,0.0,26073.52,Transferencia,Cliente o Producto Inexistente
2986,2024-10-28,1747.0,,14,whatsapp,3,3877.8,0.0,11633.4,Transferencia,Cliente o Producto Inexistente
3025,2023-07-02,777777.0,202428.0,9,Tienda,6,7934.84,0.0,47609.04,Tarjeta,Cliente o Producto Inexistente
3034,2023-03-21,,201098.0,6,WhatsApp,7,7993.75,5595.62,50360.63,Transf.,Cliente o Producto Inexistente
3057,2023-08-21,16072.0,888888.0,19,WhatsApp,7,3573.09,1250.58,23761.05,Tarjeta,Cliente o Producto Inexistente
3086,2021-04-29,777777.0,201088.0,8,WhatsApp,1,295.22,14.76,280.46,EFECTIVO,Cliente o Producto Inexistente
3090,2023-03-28,10250.0,999999.0,9,Web,2,5029.97,1508.99,8550.95,Efectivo,Cliente o Producto Inexistente
3156,2021-03-18,16379.0,888888.0,8,Web,4,1416.88,566.75,5694.66,Transferencia,Cliente o Producto Inexistente
3169,2024-07-13,17784.0,,10,WhatsApp,6,1425.75,0.0,8554.5,Tarjeta,Cliente o Producto Inexistente
3182,2023-03-10,21772.0,999999.0,8,Sitio,2,4176.51,0.0,8353.02,Efectivo,Cliente o Producto Inexistente
3199,2026-06-27,28273.0,999999.0,6,web,6,3993.59,3594.23,20367.31,Tarjeta,Cliente o Producto Inexistente
3237,2023-06-13,,203143.0,13,WhatsApp,8,8885.73,3554.29,67531.55,Efectivo,Cliente o Producto Inexistente
3243,2022-03-14,,201534.0,4,Web,7,4922.71,3445.9,31013.07,Tarjeta,Cliente o Producto Inexistente
3272,2024-03-04,999999.0,200809.0,18,WhatsApp,5,10224.04,5112.02,46008.18,Efectivo,Cliente o Producto Inexistente
3276,2024-06-03,777777.0,203984.0,2,Tienda,6,6416.54,0.0,38499.24,Deposito,Cliente o Producto Inexistente
3283,2025-02-01,21667.0,,4,Tienda,5,558.05,83.71,2706.54,Transferencia,Cliente o Producto Inexistente
3301,2025-12-27,999999.0,201925.0,6,WhatsApp,2,3208.25,192.5,6224.0,Efectivo,Cliente o Producto Inexistente
3318,2025-09-28,,202578.0,13,Tienda,3,1466.83,440.05,3960.44,Transferencia,Cliente o Producto Inexistente
3326,2024-10-28,11322.0,,5,Tienda,1,8295.9,1244.38,7051.52,TC,Cliente o Producto Inexistente
3342,2026-03-29,593.0,,14, Web ,3,9265.35,1389.8,26406.25,Efectivo,Cliente o Producto Inexistente
3418,2022-06-12,,203063.0,14,Tienda,3,9647.9,2894.37,26049.33,TRANSFERENCIA,Cliente o Producto Inexistente
3441,,20901.0,,11,Web,5,3586.8,896.7,17037.3,Transferencia,Cliente o Producto Inexistente
3447,2023-07-19,8949.0,999999.0,18,Tienda,5,4511.36,0.0,22556.8,Transferencia,Cliente o Producto Inexistente
3498,2025-06-03,777777.0,200083.0,19,Tienda Física,4,2134.69,256.16,8282.6,Transferencia,Cliente o Producto Inexistente
3543,2021-08-01,9329.0,,2,WhatsApp,5,10785.57,2696.39,51231.46,Transferencia,Cliente o Producto Inexistente
3601,2024-10-09,999999.0,200055.0,3,Tienda,3,7997.73,0.0,23993.19,Tarjeta,Cliente o Producto Inexistente
3634,2021-05-21,,202423.0,16,Tienda Física,1,4568.16,0.0,4568.16,Tarjeta,Cliente o Producto Inexistente
3638,2024-05-26,999999.0,201086.0,18,WhatsApp,5,2486.74,373.01,12060.69,Visa,Cliente o Producto Inexistente
3679,2021-04-29,23424.0,,14,Tienda,1,5838.14,875.72,4962.42,Tarjeta,Cliente o Producto Inexistente
3738,2022-04-19,,202810.0,1,Tienda,5,8616.53,2154.13,40928.52,Transferencia,Cliente o Producto Inexistente
3746,2025-07-07,21945.0,888888.0,15,Sitio,5,9640.15,2410.04,45790.71,Transferencia,Cliente o Producto Inexistente
3786,2026-05-08,777777.0,200532.0,18,Web,2,4800.68,288.04,9313.32,Tarjeta,Cliente o Producto Inexistente
3792,2021-06-22,20164.0,888888.0,17,Pagina Web,6,829.24,0.0,4975.44,EFECTIVO,Cliente o Producto Inexistente
3937,2023-02-18,999999.0,202030.0,14,WhatsApp,3,6238.53,561.47,18154.12,Efectivo,Cliente o Producto Inexistente
3940,2024-12-03,,202495.0,11,Tienda,5,7317.38,1097.61,35489.29,Transferencia,Cliente o Producto Inexistente
3968,2025-08-28,,203325.0,4,Tienda,1,1142.6,171.39,971.21,Tarjeta,Cliente o Producto Inexistente
3996,2022-04-01,777777.0,203009.0,1,Tienda,2,8147.48,488.85,15806.11, Efectivo ,Cliente o Producto Inexistente
4025,2022-05-12,999999.0,202209.0,12,Tienda,3,3415.37,1536.92,8709.19,Transferencia,Cliente o Producto Inexistente
4074,2021-06-06,18783.0,,20,Tienda Física,1,620.19,93.03,527.16,Efectivo,Cliente o Producto Inexistente
4075,2021-03-10,5918.0,999999.0,11,Tienda,7,10086.0,2118.06,68483.94,Transferencia,Cliente o Producto Inexistente
4091,2021-12-22,5743.0,999999.0,1,Web,4,4134.14,2480.48,14056.08,Tarjeta,Cliente o Producto Inexistente
4092,2025-04-26,999999.0,202127.0,12,Tienda,2,886.28,-25.0,1772.56,Mastercard,Cliente o Producto Inexistente
4126,2022-12-02,29149.0,999999.0,18,Tienda,5,8986.81,6740.11,38193.94,Transferencia,Cliente o Producto Inexistente
4139,2022-12-09,999999.0,200181.0,12,Web,2,4127.43,1238.23,7016.63,Efectivo,Cliente o Producto Inexistente
4153,2022-11-19,,203109.0,11,Tienda,4,5317.3,-25.0,20205.74,Tarjeta,Cliente o Producto Inexistente
4165,2022-10-29,999999.0,200005.0,15,whatsapp,4,9924.94,1984.99,37714.77,Efectivo,Cliente o Producto Inexistente
4248,2022-05-27,,200007.0,20,WhatsApp,2,4580.56,0.0,9161.12,Transferencia,Cliente o Producto Inexistente
4252,2023-07-03,,201906.0,12,WhatsApp,1,7369.07,368.45,7000.62,Transferencia,Cliente o Producto Inexistente
4254,2023-05-18,10856.0,,6,WhatsApp,8,913.68,730.94,6578.5,Efectivo,Cliente o Producto Inexistente
4262,2023-08-29,19289.0,999999.0,5,WhatsApp,3,308.0,0.0,924.0,Transferencia,Cliente o Producto Inexistente
4306,2025-02-04,956.0,888888.0,18,WEB,4,7061.98,847.44,27400.48,Tarjeta,Cliente o Producto Inexistente
4317,2022-08-04,1476.0,888888.0,6,Pagina Web,6,7449.86,0.0,44699.16,Tarjeta,Cliente o Producto Inexistente
4320,2026-03-18,999999.0,202328.0,20,Web,2,3027.36,302.74,5751.98,Tarjet,Cliente o Producto Inexistente
4333,2023-09-28,10696.0,999999.0,14,WA,7,8443.8,8865.99,50240.61,Efectivo,Cliente o Producto Inexistente
4370,2025-01-15,,203258.0,16,Tienda,6,951.13,570.68,5136.1,Tarjeta,Cliente o Producto Inexistente
4371,2026-03-06,19062.0,888888.0,1,Web,3,5452.61,1635.78,14722.05,Transferencia,Cliente o Producto Inexistente
4391,2022-05-07,,202811.0,3,TIENDA,5,4391.07,,21955.35,Credito,Cliente o Producto Inexistente
4411,2023-11-11,11968.0,888888.0,16,Tienda,3,8439.66,0.0,25318.98,Efectivo,Cliente o Producto Inexistente
4446,2021-03-11,,200323.0,5,WhatsApp,8,7335.51,5868.41,52815.67,Efectivo,Cliente o Producto Inexistente
4450,2021-07-17,7354.0,,13,WhatsApp,5,601.46,300.73,2706.57,Tarjeta,Cliente o Producto Inexistente
4467,2021-04-08,777777.0,202429.0,4,Tienda,7,2463.66,1724.56,15521.06,Transferencia,Cliente o Producto Inexistente
4496,2024-05-09,10981.0,,13,Web,1,4841.45,726.22,4115.23,Transferencia,Cliente o Producto Inexistente
4501,2023-06-01,,203302.0,17,Pagina Web,1,9970.16,997.02,8973.14,Efectivo,Cliente o Producto Inexistente
4527,2024-05-07,16525.0,,10,Online,2,2604.67,781.4,4427.94,Efectivo,Cliente o Producto Inexistente
4580,2021-07-27,19502.0,888888.0,2,WhatsApp,4,10627.38,6376.43,36133.09,Tarjeta,Cliente o Producto Inexistente
4634,2026-02-28,,,5,Web,5,4425.05,2212.53,19912.72,Efectivo,Cliente o Producto Inexistente
4672,2021-11-21,,202209.0,17,Tienda,7,3415.37,2390.76,21516.83, cash ,Cliente o Producto Inexistente
4701,2021-09-24,777777.0,201637.0,15,Web,8,5348.47,0.0,42787.76,Efectivo,Cliente o Producto Inexistente
4725,2024-01-30,,202979.0,12,Tienda,6,5336.46,960.56,31058.2,Transferencia,Cliente o Producto Inexistente
4846,2024-11-07,11740.0,,10,Web,1,6781.8,678.18,6103.62,Efectivo,Cliente o Producto Inexistente
4873,2023-06-01,6662.0,,17,WhatsApp,3,8616.53,2584.96,23264.63,Tarjeta,Cliente o Producto Inexistente
4951,2026-06-12,,203820.0,9,WhatsApp,1,9016.97,1352.55,7664.42, Tarjeta ,Cliente o Producto Inexistente
4964,2025-03-28,14394.0,,18,Web,6,6059.4,0.0,36356.4,Efectivo,Cliente o Producto Inexistente
4977,2024-11-06,777777.0,201701.0,12,WhatsApp,2,11665.61,3499.68,19831.54,Transferencia,Cliente o Producto Inexistente
4978,2021-06-01,28715.0,888888.0,7,Web,6,8419.05,7577.14,42937.16,Deposito,Cliente o Producto Inexistente
4990,2021-02-02,777777.0,201094.0,15,WhatsApp,6,8861.01,5316.61,47849.45,Transferencia,Cliente o Producto Inexistente
4992,2023-03-09,23593.0,,15,WhatsApp,6,1620.93,1458.84,8266.74,Tarjeta,Cliente o Producto Inexistente
5077,2023-12-15,777777.0,200317.0,16,Tienda,8,2467.3,2960.76,16777.64,Tarjeta,Cliente o Producto Inexistente
5096,,21903.0,,14,Tienda,7,5230.27,1830.59,34781.3,Transferencia,Cliente o Producto Inexistente
5112,2022-08-16,18589.0,,9,WhatsApp,6,5649.67,0.0,33898.02,Transferencia,Cliente o Producto Inexistente
5122,2022-10-16,10390.0,,2,Tienda,4,8262.38,3304.95,29744.57,Transferencia,Cliente o Producto Inexistente
5143,2024-03-05,8032.0,,17,Web,3,7852.29,1177.84,22379.03,Transferencia,Cliente o Producto Inexistente
5161,2022-02-28,7049.0,,4,Tienda,4,1971.57,236.59,7649.69,Tarjeta,Cliente o Producto Inexistente
5174,2023-06-17,25970.0,999999.0,4,web,4,6776.5,1355.3,25750.7,Tarjeta,Cliente o Producto Inexistente
5177,2023-06-21,,203417.0,12,Web,3,574.03,51.66,1670.43,Tarjeta,Cliente o Producto Inexistente
5207,2026-02-03,,203720.0,20,WhatsApp,3,7149.48,2144.84,19303.6,Tarjeta,Cliente o Producto Inexistente
5215,2023-09-05,16798.0,888888.0,8,Tienda,6,10243.45,1843.82,59616.88,Tarjeta,Cliente o Producto Inexistente
5263,2023-10-08,,202240.0,19,WhatsApp,2,5530.27,553.03,10507.51,Deposito,Cliente o Producto Inexistente
5268,2026-04-18,22227.0,888888.0,11,Web,8,2174.06,0.0,17392.48,Efectivo,Cliente o Producto Inexistente
5269,2022-07-07,,201583.0,13,Web,6,10639.6,3191.88,60645.72,Tarjeta,Cliente o Producto Inexistente
5291,2023-07-23,999999.0,200285.0,18,Web,7,7996.21,5597.35,50376.12,Tarjeta,Cliente o Producto Inexistente
5317,2024-03-19,,203107.0,15,Tienda,2,286.86,86.06,487.66,Efectivo,Cliente o Producto Inexistente
5326,2023-02-05,1916.0,888888.0,8,WhatsApp,7,2636.14,1845.3,16607.68,Tarjeta,Cliente o Producto Inexistente
5336,2022-12-11,21448.0,,2,Tienda,6,4941.37,4447.23,25200.99,Efectivo,Cliente o Producto Inexistente
5344,2022-02-17,4811.0,,4,Web,6,1178.7,353.61,6718.59,Efectivo,Cliente o Producto Inexistente
5359,2025-12-14,,200419.0,17,Tiend,3,4617.97,2078.09,11775.82,Tarjeta,Cliente o Producto Inexistente
5361,2021-09-04,22373.0,,5,WhatsApp,1,8517.58,425.88,8091.7,Efectivo,Cliente o Producto Inexistente
5408,2026-03-05,4760.0,,1,WhatsApp,6,2603.34,0.0,15620.04,Efectivo,Cliente o Producto Inexistente
5426,2024-01-20,,200803.0,5,WhatsApp,2,6781.8,1356.36,12207.24,Efectivo,Cliente o Producto Inexistente
5427,2025-12-19,,203863.0,15,Web,5,4929.57,3697.18,20950.67,Transferencia,Cliente o Producto Inexistente
5486,2021-08-23,,200865.0,13,Tienda Física,1,3208.62,160.43,3048.19,Efectivo,Cliente o Producto Inexistente
5491,2022-07-18,,200972.0,17,Web,5,86.4,0.0,432.0,Tarjeta,Cliente o Producto Inexistente
5517,2023-03-19,999999.0,203698.0,20,Tienda,6,2835.13,0.0,17010.78,Efectivo,Cliente o Producto Inexistente
5524,,17354.0,,3,Tienda,8,9551.46,3820.58,72591.1,Transferencia,Cliente o Producto Inexistente
5542,2026-04-23,9087.0,999999.0,20,Web,7,8546.51,8973.84,50112.4,Tarjeta,Cliente o Producto Inexistente
5545,2026-04-18,,200088.0,13,WhatsApp,1,7205.32,0.0,7205.32,Tarjeta,Cliente o Producto Inexistente
5552,2023-04-23,999999.0,201987.0,5,Web,8,4171.24,1001.1,32368.82,Tarjeta,Cliente o Producto Inexistente
5592,2021-02-21,,202295.0,4,Tienda,1,5353.74,160.61,5193.13,Tarjeta,Cliente o Producto Inexistente
5630,2025-01-02,18780.0,999999.0,19,Tienda,3,4841.14,0.0,14523.42,EFECTIVO,Cliente o Producto Inexistente
5657,2024-04-05,,200524.0,8,Web,4,4260.74,2556.44,14486.52,Transferencia,Cliente o Producto Inexistente
5666,2025-09-22,6042.0,999999.0,2,WhatsApp,8,8094.5,1942.68,62813.32,Tarjeta,Cliente o Producto Inexistente
5668,2021-08-11,1053.0,999999.0,13,Sitio,2,5675.2,340.51,11009.89,Transferencia,Cliente o Producto Inexistente
5673,2022-12-15,777777.0,200480.0,11,WA,7,2971.06,623.92,20173.5,Efectivo,Cliente o Producto Inexistente
5687,2025-03-19,29610.0,888888.0,2,Pagina Web,5,4273.8,2136.9,19232.1,Tarjeta,Cliente o Producto Inexistente
5904,2022-07-28,,203277.0,9,Web,8,9990.06,0.0,79920.48,Transferencia,Cliente o Producto Inexistente
5968,2025-08-04,777777.0,202495.0,5,WhatsApp,3,7317.38,2195.21,19756.93,Transferencia,Cliente o Producto Inexistente
5984,2022-02-21,999999.0,203597.0,19,Tienda,3,6873.02,618.57,18012.83,Transferencia,Cliente o Producto Inexistente
