producto_id,nombre_producto,categoria,subcategoria,marca,costo_unitario,precio_lista,proveedor_id
200035,BIOMETRICOS DELL MODELO 608,SEGURIDAD,BIOMETRICOS,DELL,6394.88,9858.91,9064
200036,ALARMAS HP MODELO 957,SEGURIDAD,ALARMAS,HP,6257.85,7264.32,9051
200037,ROUTERS CLICKIT MODELO 218,REDES,,CLICKIT,5801.13,9272.17,9036
200038,BIOMETRICOS VISIONX MODELO 680,SEGURIDAD,BIOMETRICOS,VISIONX,662.12,1123.16,9030
200039,ALL IN ONE TECHONE MODELO 448,COMPUTO,ALL IN ONE,TECHONE,2393.37,3939.97,9045
200040,GAMING HP MODELO 468,MONITORES,GAMING,HP,5074.76,8035.93,9033
200041,CABLEADO LOGITECH MODELO 538,REDES,CABLEADO,LOGITECH,6496.67,11151.33,9013
200042,LAPTOPS VISIONX MODELO 681,COMPUTO,LAPTOPS,VISIONX,4164.18,6979.31,9074
200043,ROUTERS TECHONE MODELO 544,REDES,ROUTERS,TECHONE,6421.28,8106.44,9046
200044,ROUTERS HP MODELO 243,REDES,ROUTERS,HP,4928.96,6019.45,9023
200045,ROUTERS VISIONX MODELO 468,REDES,ROUTERS,DESCONOCIDO,2462.68,3105.32,9097
200046,MOUSE DELL MODELO 387,ACCESORIOS,MOUSE,DELL,1296.4,1725.11,9050
200047,LED LOGITECH MODELO 566,MONITORES,LED,LOGITECH,2335.69,1081.53,9099
200048,CURVOS LENOVO MODELO 501,MONITORES,CURVOS,LENOVO,2543.31,3941.85,9092
200049,ALARMAS VISIONX MODELO 609,SEGURIDAD,ALARMAS,VISIONX,2112.66,2497.35,9068
200050,ALL IN ONE LENOVO MODELO 882,COMPUTO,ALL IN ONE,LENOVO,1181.26,1425.98,9066
200051,ROUTERS DELL MODELO 762,REDES,ROUTERS,DELL,1596.77,2421.11,9027
200052,TONER DELL MODELO 162,IMPRESION,TONER,DELL,6719.68,8665.15,9006
200053,ROUTERS DELL MODELO 308,REDES,ROUTERS,DELL,2064.69,867.77,9003
200054,WEBCAM VISIONX MODELO 870,ACCESORIOS,WEBCAM,VISIONX,4443.27,7640.95,9076
200055,GAMING SECUREID MODELO 349,MONITORES,,SECUREID,5190.91,7997.73,9024
200056,WEBCAM HP MODELO 760,COMPUTO,WEBCAM,HP,1545.14,1394.52,9033
200057,TINTA LENOVO MODELO 554,IMPRESION,TINTA,LENOVO,874.63,1262.77,9001
200058,SWITCHES SECUREID MODELO 254,REDES,SWITCHES,SECUREID,5425.35,9246.32,9065
200059,DESKTOP DELL MODELO 191,COMPUTO,DESKTOP,DELL,3927.54,6590.09,9072
200060,DESKTOP LENOVO MODELO 403,COMPUTO,DESKTOP,LENOVO,6690.47,10351.86,9055
200061,GAMING PRINTMAX MODELO 598,MONITORES,GAMING,PRINTMAX,6203.43,7822.07,9096
200062,ALARMAS HP MODELO 129,SEGURIDAD,ALARMAS,HP,329.75,557.75,9028
200063,TECLADOS NETPRO MODELO 917,ACCESORIOS,TECLADOS,NETPRO,5270.5,3908.32,9085
200064,WEBCAM LENOVO MODELO 643,ACCESORIOS,WEBCAM,LENOVO,4955.92,8127.83,9064
200065,MOUSE CLICKIT MODELO 636,ACCESORIOS,MOUSE,CLICKIT,5176.85,8625.25,9038
200066,DESKTOP HP MODELO 998,COMPUTO,DESKTOP,HP,492.02,695.44,9100
200067,TONER VISIONX MODELO 550,IMPRESION,TONER,VISIONX,6745.74,10244.7,9050
200068,ROUTERS LENOVO MODELO 589,REDES,ROUTERS,LENOVO,4400.99,5434.77,9015
200069,AUDIFONOS DELL MODELO 235,ACCESORIOS,AUDIFONOS,DELL,4624.21,5632.96,9003
200070,ROUTERS LENOVO MODELO 132,REDES,ROUTERS,LENOVO,6558.1,9291.97,9046
200071,ROUTERS VISIONX MODELO 741,REDES,DESCONOCIDO,VISIONX,1584.09,2619.14,9049
200072,TONER NETPRO MODELO 129,IMPRESION,TONER,NETPRO,6008.27,8260.79,9073
200073,ALARMAS SECUREID MODELO 704,SEGURIDAD,ALARMAS,SECUREID,1722.71,2817.3,9015
200074,TINTA LOGITECH MODELO 104,IMPRESION,TINTA,LOGITECH,4928.9,5900.13,9050
200075,TECLADOS HP MODELO 208,ACCESORIOS,TECLADOS,HP,107.94,151.83,9048
200076,ROUTERS VISIONX MODELO 331,REDES,ROUTERS,VISIONX,5637.73,7804.79,9045
200077,AUDIFONOS PRINTMAX MODELO 620,ACCESORIOS,AUDIFONOS,PRINTMAX,347.24,590.01,9040
200078,ROUTERS SECUREID MODELO 218,REDES,ROUTERS,SECUREID,2043.7,2675.06,9034
200079,DESKTOP TECHONE MODELO 449,DESCONOCIDO,DESKTOP,TECHONE,2074.32,1765.53,9072
200080,CAMARAS SECUREID MODELO 714,SEGURIDAD,CAMARAS,SECUREID,5240.98,8355.14,9015
200081,TINTA CLICKIT MODELO 665,IMPRESION,TINTA,CLICKIT,4688.52,5453.47,9013
200082,SWITCHES LOGITECH MODELO 731,REDES,SWITCHES,LOGITECH,5812.3,10144.91,9011
200083,TONER CLICKIT MODELO 888,IMPRESION,TONER,CLICKIT,1470.21,2134.69,9004
200084,LED TECHON MODELO 475,MONITORES,LED,TECHONE,2001.64,3344.75,9034
200085,LED LENOVO MODELO 248,MONITORES,LED,LENOVO,1437.04,1945.17,9026
200086,TONER DELL MODELO 343,DESCONOCIDO,TONER,DELL,5072.36,6146.15,9073
200087,TECLADOS TECHONE MODELO 822,ACCESORIOS,TECLADOS,TECHONE,6201.91,10339.32,9011
200088,BIOMETRICOS LOGITECH MODELO 559,SEGURIDAD,BIOMETRICOS,LOGITECH,6153.03,7205.32,9091
200089,CAMARAS CLICKIT MODELO 703,SEGURIDAD,CAMARAS,CLICKIT,6267.91,9531.45,9037
200090,TONER VISIONX MODELO 377,IMPRESION,TONER,VISIONX,6102.06,7752.12,9099
200091,TONER NETPRO MODELO 763,IMPRESION,TONER,NETPRO,6536.06,11149.58,9053
200092,ALL IN ONE LENOVO MODELO 750,COMPUTO,ALL IN ONE,LENOVO,248.33,430.97,9093
200093,IMPRESORAS NETPRO MODELO 104,IMPRESION,IMPRESORAS,NETPRO,4304.67,6266.95,9044
200094,LED DELL MODELO 306,MONITORES,LED,DELL,3711.3,5220.2,9006
200095,ROUTERS HP MODELO 90,REDES,ROUTERS,HP,2390.67,2830.31,9017
200096,TONER HP MODELO 178,IMPRESION,TONER,HP,2234.48,1473.82,9011
200097,GAMING NETPRO MODELO 937,MONITORES,GAMING,NETPRO,423.74,669.53,9055
200098,ROUTERS CLICKIT MODELO 905,REDES,ROUTERS,CLICKIT,1835.26,2548.59,9046
200099,LAPTOPS VISIONX MODELO 241,COMPUTO,LAPTOPS,VISIONX,5915.05,7282.97,9069
200100,CURVOS CLICKIT MODELO 153,MONITORES,CURVOS,CLICKIT,2155.75,2559.72,9014
200101,ALL IN ONE LOGITECH MODELO 138,COMPUTO,ALL IN ONE,LOGITECH,4561.55,6395.7,9009
200102,BIOMETRICOS VISIONX MODELO 764,SEGURIDAD,BIOMETRICOS,VISIONX,4989.58,8719.27,9036
200103,ALARMAS LENOVO MODELO 929,SEGURIDAD,ALARMAS,LENOVO,2603.09,4319.74,9026
200104,MOUSE SECUREID MODELO 868,ACCESORIOS,MOUSE,SECUREID,2632.29,3111.79,9061
200105,AUDIFONOS TECHONE MODELO 114,ACCESORIOS,AUDIFONOS,TECHONE,2731.04,3578.97,9037
200106,WEBCAM NETPRO MODELO 638,ACCESORIOS,WEBCAM,NETPRO,5728.13,6723.42,9003
200107,ROUTERS VISIONX MODELO 981,REDES,ROUTERS,VISIONX,6096.79,10028.08,9038
200108,CABLEADO HP MODELO 714,COMPUTO,CABLEADO,HP,6778.61,10437.65,9007
200109,CURVOS PRINTMAX MODELO 889,MONITORES,CURVOS,PRINTMAX,3795.66,5999.77,9019
200110,ALARMAS LENOVO MODELO 653,SEGURIDAD,ALARMAS,LENOVO,4583.72,5471.52,9043
200111,IMPRESORAS DELL MODELO 273,DESCONOCIDO,IMPRESORAS,DESCONOCIDO,4968.31,6436.52,9016
200112,TECLADOS DELL MODELO 942,ACCESORIOS,TECLADOS,DELL,4861.93,6610.32,9009
200113,LAPTOPS LENOVO MODELO 585,COMPUTO,LAPTOPS,LENOVO,4192.28,5180.63,9006
200114,DESKTOP TECHONE MODELO 267,COMPUTO,DESKTOP,TECHONE,5700.01,7471.6,9059
200115,ROUTERS VISIONX MODELO 401,REDES,ROUTERS,VISIONX,1604.09,2431.06,9079
200116,LAPTOPS PRINTMAX MODELO 452,COMPUTO,LAPTOPS,PRINTMAX,3407.42,5198.27,9044
200117,CURVOS DELL MODELO 672,MONITORES,CURVOS,DELL,5825.85,6801.49,9018
200118,CURVOS HP MODELO 622,MONITORES,CURVOS,HP,4747.13,7442.53,9027
200119,DESKTOP TECHONE MODELO 524,COMPUTO,DESKTOP,TECHONE,5846.31,7169.82,9091
200120,ROUTERS PRINTMAX MODELO 606,REDES,ROUTERS,PRINTMAX,6203.21,10475.58,9028
200121,AUDIFONOS LOGITECH MODELO 414,ACCESORIOS,AUDIFONOS,LOGITECH,6339.02,0.0,9021
200122,TONER LOGITECH MODELO 515,IMPRESION,TONER,LOGITECH,5093.8,4364.76,9090
200123,WEBCAM VISIONX MODELO 748,ACCESORIOS,WEBCAM,VISIONX,4893.81,2958.86,9063
200124,CABLEADO NETPRO MODELO 296,REDES,CABLEADO,NETPRO,3387.36,3937.62,9066
200125,IMPRESORAS HP MODELO 553,IMPRESION,IMPRESORAS,HP,1939.27,2782.74,9076
200126,IMPRESORAS VISIONX MODELO 308,IMPRESION,IMPRESORAS,VISIONX,137.41,197.18,9033
200127,AUDIFONOS DELL MODELO 563,ACCESORIOS,AUDIFONOS,DELL,305.18,453.75,9088
200128,ROUTERS PRINTMAX MODELO 438,REDES,ROUTERS,PRINTMAX,4075.17,6734.24,9037
200129,TINTA CLICKIT MODELO 502,IMPRESION,TINTA,CLICKIT,1248.45,2037.33,9039
200130,AUDIFONOS VISIONX MODELO 450,ACCESORIOS,,VISIONX,2301.13,3211.36,9022
200131,SWITCHES LENOVO MODELO 821,REDES,SWITCHES,LENOVO,2374.45,3330.65,9037
200132,SWITCHES NETPRO MODELO 628,COMPUTO,SWITCHES,NETPRO,5847.57,7477.76,9081
200133,CABLEADO LENOVO MODELO 295,REDES,CABLEADO,LENOVO,3734.64,4519.59,9004
200134,MOUSE TECHONE MODELO 190,ACCESORIOS,MOUSE,TECHONE,1315.17,1597.23,9031
200135,GAMING CLICKI MODELO 150,MONITORES,GAMING,CLICKI,1288.92,2200.65,9032
200136,CURVOS PRINTMAX MODELO 297,MONITORES,CURVOS,PRINTMAX,6464.23,8729.95,9042
200137,ALARMAS SECUREID MODELO 988,SEGURIDAD,ALARMAS,SECUREID,634.57,729.84,9093
200138,ALL IN ONE CLICKIT MODELO 803,COMPUTO,ALL IN ONE,CLICKIT,6810.1,8979.88,9086
200139,SWITCHES VISIONX MODELO 386,REDES,SWITCHES,VISIONX,2440.83,4221.27,9095
200140,BIOMETRICOS VISIONX MODELO 427,SEGURIDAD,BIOMETRICOS,VISIONX,4629.15,7011.43,9075
200141,DESKTOP DELL MODELO 432,COMPUTO,DESKTOP,DELL,2160.88,2496.16,9049
200142,CABLEADO DELL MODELO 298,REDES,CABLEADO,DELL,5865.12,8793.34,9098
200143,TINTA PRINTMAX MODELO 936,IMPRESION,TINTA,PRINTMAX,1421.08,2037.79,9089
200144,LAPTOPS DELL MODELO 634,COMPUTO,LAPTOPS,SIN DATO,5682.46,6974.2,9026
200145,LAPTOPS DELL MODELO 759,COMPUTO,LAPTOPS,DELL,5125.86,6387.69,9078
200146,IMPRESORAS VISIONX MODELO 675,IMPRESION,IMPRESORAS,VISIONX,1836.08,3102.32,9018
200147,DESKTOP DELL MODELO 978,COMPUTO,DESCONOCIDO,DELL,5058.86,8547.31,9080
200148,ALARMAS SECUREID MODELO 654,SEGURIDAD,ALARMAS,SECUREID,3241.0,3737.94,9031
200149,TONER LOGITECH MODELO 323,IMPRESION,TONER,LOGITECH,4685.95,5711.6,9017
200150,GAMING DELL MODELO 517,MONITORES,GAMING,DELL,4523.8,6505.57,9095
200151,MOUSE CLICKIT MODELO 955,ACCESORIOS,MOUSE,CLICKIT,5488.28,7750.5,9053
200152,ROUTERS TECHONE MODELO 725,REDES,ROUTERS,DESCONOCIDO,321.94,453.79,9003
200153,CAMARAS DELL MODELO 339,SEGURIDAD,CAMARAS,DELL,3201.82,4269.19,9005
200154,AUDIFONOS DELL MODELO 882,ACCESORIOS,AUDIFONOS,DELL,5119.51,8145.22,9013
200155,TINTA HP MODELO 610,IMPRESION,TINTA,HP,3245.79,4315.85,9095
200156,ALL IN ONE SECUREID MODELO 378,COMPUTO,ALL IN ONE,SECUREID,1640.55,1953.14,9097
200157,IMPRESORAS VISIONX MODELO 381,IMPRESION,IMPRESORAS,VISIONX,3871.09,4783.76,9021
200158,CABLEADO PRINTMAX MODELO 937,REDES,CABLEADO,PRINTMAX,3727.61,6059.4,9075
200159,CAMARAS CLICKIT MODELO 200,SEGURIDAD,CAMARAS,CLICKIT,677.43,842.86,9087
200160,ROUTERS DELL MODELO 257,REDES,ROUTERS,DELL,3316.92,4742.25,9063
200161,CURVOS LENOVO MODELO 245,MONITORES,CURVOS,LENOVO,6611.66,10277.31,9063
200162,IMPRESORAS CLICKIT MODELO 262,IMPRESION,IMPRESORAS,CLICKIT,6375.02,8306.47,9082
200163,TECLADOS LOGITECH MODELO 145,ACCESORIOS,TECLADOS,LOGITECH,5008.77,8089.47,9018
200164,ALL IN ONE LENOVO MODELO 776,COMPUTO,ALL IN ONE,SIN DATO,4640.99,6750.5,9045
200165,DESKTOP TECHONE MODELO 300,COMPUTO,DESKTOP,TECHONE,3182.74,5239.6,9093
200166,LAPTOPS CLICKIT MODELO 370,COMPUTO,LAPTOPS,CLICKIT,5554.73,8293.73,9006
200167,CABLEADO PRINTMAX MODELO 163,REDES,DESCONOCIDO,PRINTMAX,3730.38,6364.26,9099
200168,CURVOS HP MODELO 587,MONITORES,CURVOS,HP,6544.9,8093.54,9003
200169,ALARMAS VISIONX MODELO 425,SEGURIDAD,ALARMAS,VISIONX,5579.63,9129.47,9085
200170,GAMING TECHONE MODELO 823,MONITORES,GAMING,TECHONE,1089.58,1369.88,9082
200171,IMPRESORAS LOGITECH MODELO 752,IMPRESION,IMPRESORAS,LOGITECH,295.08,419.25,9017
200172,BIOMETRICOS LENOVO MODELO 440,SEGURIDAD,BIOMETRICOS,LENOVO,3444.79,4015.65,9030
200173,GAMING SECUREID MODELO 685,MONITORES,GAMING,SIN DATO,3516.36,5240.38,9061
200174,LAPTOPS LOGITECH MODELO 359,COMPUTO,LAPTOPS,LOGITECH,101.05,158.68,9023
200175,ALARMAS LENOVO MODELO 531,SEGURIDAD,ALARMAS,LENOVO,5905.58,7638.91,9085
200176,CABLEADO NETPRO MODELO 867,REDES,CABLEADO,NETPRO,3637.56,4539.92,9087
200177,LED HP MODELO 461,MONITORES,LED,HP,5056.05,7758.25,9060
200178,CAMARAS LENOVO MODELO 126,SEGURIDAD,CAMARAS,LENOVO,6784.85,8267.16,9091
200179,LAPTOPS NETPRO MODELO 710,COMPUTO,LAPTOPS,NETPRO,1188.96,1616.59,9040
200180,GAMING DELL MODELO 725,MONITORES,GAMING,DELL,1129.64,1849.9,9019
200181,TINTA LENOVO MODELO 749,IMPRESION,TINTA,LENOVO,2592.72,4127.43,9046
200182,ALARMAS NETPRO MODELO 359,SEGURIDAD,ALARMAS,NETPRO,266.81,371.22,9043
200183,LAPTOPS PRINTMAX MODELO 184,COMPUTO,LAPTOPS,PRINTMAX,698.07,615.18,9057
200184,BIOMETRICOS NETPRO MODELO 771,SEGURIDAD,BIOMETRICOS,NETPRO,1883.02,3092.12,9016
200185,CURVOS CLICKIT MODELO 818,MONITORES,CURVOS,CLICKIT,2702.4,3240.28,9050
200186,LAPTOPS DELL MODELO 496,COMPUTO,LAPTOPS,DELL,6603.59,9029.24,9085
200187,ROUTERS DELL MODELO 356,REDES,ROUTERS,DELL,3986.04,5624.03,9055
200188,LED VISIONX MODELO 635,MONITORES,LED,VISIONX,2835.06,3632.87,9065
200189,LAPTOPS TECHONE MODELO 680,COMPUTO,LAPTOPS,TECHONE,4600.27,6583.01,9058
200190,ALL IN ONE LENOVO MODELO 672,COMPUTO,ALL IN ONE,LENOVO,2713.76,4156.26,9024
200191,GAMING LENOVO MODELO 118,MONITORES,GAMING,LENOVO,5189.37,9045.5,9075
200192,CAMARAS NETPRO MODELO 490,SEGURIDAD,CAMARAS,NETPRO,6726.22,10757.29,9047
200193,TONER SECUREID MODELO 712,IMPRESION,TONER,SECUREID,2821.95,4334.06,9001
200194,ROUTERS VISIONX MODELO 135,REDES,ROUTERS,VISIONX,6320.45,9837.85,9059
200195,CAMARAS NETPRO MODELO 782,SEGURIDAD,CAMARAS,NETPRO,4634.77,7852.29,9052
200196,ALARMAS HP MODELO 418,SEGURIDAD,ALARMAS,HP,570.67,841.55,9042
200197,CABLEADO PRINTMAX MODELO 900,REDES,CABLEADO,PRINTMAX,1908.37,3145.16,9033
200198,TINTA CLICKIT MODELO 566,IMPRESION,TINTA,CLICKIT,3324.11,4235.03,9035
200199,TONER LOGITECH MODELO 950,IMPRESION,TONER,LOGITECH,3940.65,5911.71,9027
200200,WEBCAM TECHONE MODELO 269,ACCESORIOS,WEBCAM,TECHONE,3097.31,5261.22,9022
200201,LAPTOPS CLICKIT MODELO 487,COMPUTO,LAPTOPS,CLICKIT,4850.31,8246.87,9073
200202,TINTA CLICKIT MODELO 525,IMPRESION,TINTA,CLICKIT,604.46,1038.81,9049
200203,TECLADOS LENOVO MODELO 742,ACCESORIOS,TECLADOS,LENOVO,5419.59,6933.34,9069
200204,GAMING VISIONX MODELO 245,MONITORES,GAMING,VISIONX,857.54,1413.95,9043
200205,LAPTOPS CLICKIT MODELO 512,COMPUTO,LAPTOPS,CLICKIT,2947.67,3478.77,9078
200206,ROUTERS LOGITECH MODELO 899,REDES,ROUTERS,LOGITECH,2942.31,3577.44,9006
200207,LAPTOPS HP MODELO 216,COMPUTO,LAPTOPS,HP,3682.42,4943.24,9051
200208,CAMARAS NETPRO MODELO 512,SEGURIDAD,CAMARAS,NETPRO,4312.84,5694.11,9090
200209,GAMING CLICKIT MODELO 854,MONITORES,GAMING,DESCONOCIDO,5907.34,8909.95,9080
200210,GAMING DELL MODELO 309,MONITORES,GAMING,DELL,4147.78,5269.99,9055
200211,WEBCAM NETPRO MODELO 444,ACCESORIOS,WEBCAM,NETPRO,4738.8,8132.64,9069
200212,DESKTOP CLICKIT MODELO 702,COMPUTO,DESKTOP,CLICKIT,2943.65,3573.09,9009
200213,LED HP MODELO 787,MONITORES,LED,HP,4211.48,6928.08,9015
200214,ROUTERS LENOVO MODELO 161,REDES,ROUTERS,LENOVO,4187.58,6914.42,9092
200215,MOUSE CLICKIT MODELO 782,ACCESORIOS,MOUSE,CLICKIT,4315.4,6939.89,9027
200216,BIOMETRICOS HP MODELO 236,SEGURIDAD,BIOMETRICOS,HP,3801.2,5578.41,9076
200217,IMPRESORAS CLICKIT MODELO 522,IMPRESION,IMPRESORAS,CLICKIT,2365.19,3947.47,9011
200218,TONER LOGITECH MODELO 609,IMPRESION,TONER,LOGITECH,3142.44,3850.73,9089
200219,TECLADOS NETPRO MODELO 831,ACCESORIOS,TECLADOS,NETPRO,81.13,120.59,9090
200220,ALL IN ONE HP MODELO 180,COMPUTO,ALL IN ONE,HP,426.36,744.95,9038
200221,TECLADOS NETPRO MODELO 233,ACCESORIOS,TECLADOS,NETPRO,6245.33,7388.0,9063
200222,GAMING PRINTMAX MODELO 635,MONITORES,GAMING,PRINTMAX,6773.71,11275.31,9015
200223,TINTA HP MODELO 426,DESCONOCIDO,TINTA,HP,2022.29,2690.86,9042
200224,LED LOGITECH MODELO 843,MONITORES,LED,LOGITECH,1033.31,1790.75,9072
200225,LAPTOPS SECUREID MODELO 898,COMPUTO,LAPTOPS,SECUREID,3807.74,5582.32,9011
200226,SWITCHES DELL MODELO 170,REDES,SWITCHES,DELL,2334.12,2912.91,9096
200227,AUDIFONOS VISIONX MODELO 662,ACCESORIOS,AUDIFONOS,VISIONX,2831.79,3680.46,9098
200228,SWITCHES VISIONX MODELO 776,REDES,SWITCHES,VISIONX,6803.66,9612.7,9061
200229,BIOMETRICOS SECUREID MODELO 996,SEGURIDAD,BIOMETRICOS,SIN DATO,2734.14,4025.57,9040
200230,TINTA HP MODELO 386,IMPRESION,TINTA,HP,6140.75,10037.59,9024
200231,ALL IN ONE SECUREID MODELO 902,COMPUTO,ALL IN ONE,SECUREID,3864.49,5413.48,9019
200232,CURVOS CLICKIT MODELO 771,MONITORES,CURVOS,CLICKIT,6885.97,10690.84,9094
200233,ROUTERS LENOVO MODELO 870,REDES,ROUTERS,LENOVO,1204.07,2037.25,9021
200234,WEBCAM LENOVO MODELO 857,ACCESORIOS,WEBCAM,LENOVO,3432.7,5849.2,9049
200235,CABLEADO SECUREID MODELO 384,REDES,CABLEADO,SECUREID,518.27,891.07,9074
200236,ALARMAS LENOVO MODELO 572,SEGURIDAD,ALARMAS,LENOVO,513.58,700.12,9082
200237,LAPTOPS SECUREID MODELO 955,COMPUTO,LAPTOPS,SECUREID,3083.37,3739.66,9053
200238,TINTA VISIONX MODELO 983,IMPRESION,TINTA,VISIONX,4903.8,6014.87,9005
200239,ALL IN ONE VISIONX MODELO 785,COMPUTO,ALL IN ONE,VISIONX,879.83,1481.3,9045
200240,MOUSE NETPRO MODELO 925,ACCESORIOS,MOUSE,NETPRO,1602.37,2392.25,9025
200241,WEBCAM NETPRO MODELO 449,ACCESORIOS,WEBCAM,NETPRO,610.29,743.43,9011
200242,IMPRESORAS CLICKIT MODELO 354,IMPRESION,,CLICKIT,2503.26,1941.41,9004
200243,ALARMAS PRINTMAX MODELO 327,SEGURIDAD,ALARMAS,PRINTMAX,1313.37,1898.3,9092
200244,AUDIFONOS SECUREID MODELO 686,ACCESORIOS,AUDIFONOS,SECUREID,5302.48,6314.85,9027
200245,LED TECHONE MODELO 487,MONITORES,SIN DATO,TECHONE,3342.77,4253.09,9065
200246,CURVOS LOGITECH MODELO 891,MONITORES,CURVOS,LOGITECH,1884.92,3240.96,9049
200247,LAPTOPS DELL MODELO 649,COMPUTO,LAPTOPS,DELL,4126.64,0.0,9074
200248,GAMING SECUREID MODELO 626,MONITORES,GAMING,SECUREID,2625.84,4323.19,9062
200249,MOUSE PRINTMAX MODELO 238,ACCESORIOS,MOUSE,PRINTMAX,1559.18,1837.42,9028
200250,AUDIFONOS PRINTMAX MODELO 912,ACCESORIOS,AUDIFONOS,PRINTMAX,498.45,798.47,9092
200251,TONER HP MODELO 979,IMPRESION,TONER,HP,1496.49,2561.79,9003
200252,CABLEADO TECHONE MODELO 994,REDES,CABLEADO,TECHONE,1922.87,0.0,9011
200253,BIOMETRICOS LENOVO MODELO 667,SEGURIDAD,BIOMETRICOS,LENOVO,6869.61,10404.58,9040
200254,TONER PRINTMAX MODELO 562,IMPRESION,TONER,PRINTMAX,5993.86,10086.0,9006
200255,ALL IN ONE HP MODELO 755,COMPUTO,ALL IN ONE,HP,522.21,743.36,9087
200256,TINTA HP MODELO 155,IMPRESION,TINTA,HP,3542.0,5652.43,9055
200257,ALARMAS LOGITECH MODELO 194,SEGURIDAD,ALARMAS,LOGITECH,3547.02,5262.52,9079
200258,WEBCAM H MODELO 228,ACCESORIOS,WEBCAM,H,5288.25,6573.56,9045
200259,MOUSE PRINTMAX MODELO 964,ACCESORIOS,MOUSE,PRINTMAX,5910.59,7216.26,9080
200260,MOUSE SECUREID MODELO 452,ACCESORIOS,MOUSE,SECUREID,694.12,608.65,9085
200261,ALARMAS SECUREID MODELO 637,SEGURIDAD,ALARMAS,SECUREID,3460.52,4694.43,9095
200262,GAMING VISIONX MODELO 644,MONITORES,GAMING,VISIONX,3801.69,5311.74,9070
